Unidade;DataHora;Pontuacao
Cuiabá;04/09/2025 10:38:52;0
Maceió;04/09/2025 18:54:19;153
São Paulo;04/09/2025 18:54:19;90
Fortaleza;04/09/2025 18:54:19;107
Pernambuco;04/09/2025 18:54:19;-485
Contagem;04/09/2025 18:54:19;152
Porto Alegre;04/09/2025 18:54:19;-85
Juiz de Fora;04/09/2025 18:54:19;150
Espírito Santo;04/09/2025 18:54:19;164
Cuiabá;04/09/2025 18:54:19;0
Maceió;05/09/2025 16:55:19;175
São Paulo;05/09/2025 16:55:19;176
Fortaleza;05/09/2025 16:55:19;42
Pernambuco;05/09/2025 16:55:19;-15
Contagem;05/09/2025 16:55:19;152
Porto Alegre;05/09/2025 16:55:19;68
Juiz de Fora;05/09/2025 16:55:19;112
Espírito Santo;05/09/2025 16:55:19;178
Cuiabá;05/09/2025 16:55:19;0
Maceió;08/09/2025 17:44:54;-49
Fortaleza;08/09/2025 17:44:54;-83
Pernambuco;08/09/2025 17:44:54;-121
Porto Alegre;08/09/2025 17:44:54;39
São Paulo;08/09/2025 17:44:54;61
Juiz de Fora;08/09/2025 17:44:54;-53
Contagem;08/09/2025 17:44:54;-37
Espírito Santo;08/09/2025 17:44:54;-20
Cuiabá;08/09/2025 17:44:54;0
Maceió;09/09/2025 17:53:03;-34
São Paulo;09/09/2025 17:53:03;20
Fortaleza;09/09/2025 17:53:03;57
Pernambuco;09/09/2025 17:53:03;-119
Contagem;09/09/2025 17:53:03;-9
Porto Alegre;09/09/2025 17:53:03;-1
Juiz de Fora;09/09/2025 17:53:03;-61
Espírito Santo;09/09/2025 17:53:03;9
Cuiabá;09/09/2025 17:53:03;0
Maceió;10/09/2025 19:14:01;-24
São Paulo;10/09/2025 19:14:01;43
Fortaleza;10/09/2025 19:14:01;101
Pernambuco;10/09/2025 19:14:01;-183
Contagem;10/09/2025 19:14:01;58
Porto Alegre;10/09/2025 19:14:01;36
Juiz de Fora;10/09/2025 19:14:01;36
Espírito Santo;10/09/2025 19:14:01;-16
Cuiabá;10/09/2025 19:14:01;55
Maceió;11/09/2025 19:58:11;-27
São Paulo;11/09/2025 19:58:11;33
Fortaleza;11/09/2025 19:58:11;128
Pernambuco;11/09/2025 19:58:11;-94
Contagem;11/09/2025 19:58:11;29
Porto Alegre;11/09/2025 19:58:11;29
Juiz de Fora;11/09/2025 19:58:11;56
Espírito Santo;11/09/2025 19:58:11;-16
Cuiabá;11/09/2025 19:58:11;33
Maceió;15/09/2025 18:15:49;-79
São Paulo;15/09/2025 18:15:49;-197
Fortaleza;15/09/2025 18:15:49;-94
Pernambuco;15/09/2025 18:15:49;-364
Contagem;15/09/2025 18:15:49;-92
Porto Alegre;15/09/2025 18:15:49;-345
Juiz de Fora;15/09/2025 18:15:49;34
Espírito Santo;15/09/2025 18:15:49;106
Cuiabá;15/09/2025 18:15:49;55
Maceió;16/09/2025 18:03:49;-178
São Paulo;16/09/2025 18:03:49;-332
Fortaleza;16/09/2025 18:03:49;-253
Pernambuco;16/09/2025 18:03:49;-271
Contagem;16/09/2025 18:03:49;-43
Porto Alegre;16/09/2025 18:03:49;-272
Juiz de Fora;16/09/2025 18:03:49;36
Espírito Santo;16/09/2025 18:03:49;-18
Cuiabá;16/09/2025 18:03:49;-18
Maceió;18/09/2025 18:14:26;-166
São Paulo;18/09/2025 18:14:26;-229
Fortaleza;18/09/2025 18:14:26;-102
Pernambuco;18/09/2025 18:14:26;-268
Contagem;18/09/2025 18:14:26;98
Porto Alegre;18/09/2025 18:14:26;-204
Juiz de Fora;18/09/2025 18:14:26;22
Espírito Santo;18/09/2025 18:14:26;42
Cuiabá;18/09/2025 18:14:26;14
Maceió;19/09/2025 17:05:39;-234
São Paulo;19/09/2025 17:05:39;-150
Fortaleza;19/09/2025 17:05:39;173
Pernambuco;19/09/2025 17:05:39;-264
Contagem;19/09/2025 17:05:39;156
Porto Alegre;19/09/2025 17:05:39;-103
Juiz de Fora;19/09/2025 17:05:39;52
Espírito Santo;19/09/2025 17:05:39;73
Cuiabá;19/09/2025 17:05:39;-38
Maceió;22/09/2025 17:17:50;-603
São Paulo;22/09/2025 17:17:50;-420
Fortaleza;22/09/2025 17:17:50;-42
Pernambuco;22/09/2025 17:17:50;-538
Contagem;22/09/2025 17:17:50;4
Porto Alegre;22/09/2025 17:17:50;-337
Juiz de Fora;22/09/2025 17:17:50;-1
Espírito Santo;22/09/2025 17:17:50;-66
Cuiabá;22/09/2025 17:17:50;-142
Maceió;23/09/2025 17:26:51;-645
São Paulo;23/09/2025 17:26:51;-513
Fortaleza;23/09/2025 17:26:51;30
Pernambuco;23/09/2025 17:26:51;-23
Contagem;23/09/2025 17:26:51;-6
Porto Alegre;23/09/2025 17:26:51;-395
Juiz de Fora;23/09/2025 17:26:51;-4
Espírito Santo;23/09/2025 17:26:51;-115
Cuiabá;23/09/2025 17:26:51;-162
Maceió;24/09/2025 17:58:45;-680
São Paulo;24/09/2025 17:58:45;-357
Fortaleza;24/09/2025 17:58:45;32
Pernambuco;24/09/2025 17:58:45;47
Contagem;24/09/2025 17:58:45;32
Porto Alegre;24/09/2025 17:58:45;-202
Juiz de Fora;24/09/2025 17:58:45;28
Espírito Santo;24/09/2025 17:58:45;-31
Cuiabá;24/09/2025 17:58:45;-182
Maceió;25/09/2025 19:36:36;-508
São Paulo;25/09/2025 19:36:36;-47
Fortaleza;25/09/2025 19:36:36;51
Pernambuco;25/09/2025 19:36:36;9
Contagem;25/09/2025 19:36:36;26
Porto Alegre;25/09/2025 19:36:36;-197
Juiz de Fora;25/09/2025 19:36:36;-7
Espírito Santo;25/09/2025 19:36:36;55
Cuiabá;25/09/2025 19:36:36;-202
Maceió;26/09/2025 16:36:17;-716
São Paulo;26/09/2025 16:36:17;-80
Fortaleza;26/09/2025 16:36:17;29
Pernambuco;26/09/2025 16:36:17;23
Contagem;26/09/2025 16:36:17;-58
Porto Alegre;26/09/2025 16:36:17;-65
Juiz de Fora;26/09/2025 16:36:17;-64
Espírito Santo;26/09/2025 16:36:17;-44
Cuiabá;26/09/2025 16:36:17;-222
Maceió;29/09/2025 18:10:55;-1231
